cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed,tests_failed_count,tests_ignored_count,tests_total_count,tests_total_duration
degblogr00-0155.springer-sbm.com,84,152,Passed,73,0.73,1,2011-06-17T14:49:21+01:00,2011-06-17T14:49:28+01:00,2011-06-17T14:49:38+01:00,2011-06-17T14:49:39+01:00,2011-06-17T14:50:45+01:00,2011-06-17T14:51:03+01:00,0,0,35,0.000
degblogr00-0155.springer-sbm.com,83,157,Passed,74,0.74,1,2011-06-17T16:03:21+01:00,2011-06-17T16:03:34+01:00,2011-06-17T16:03:45+01:00,2011-06-17T16:03:45+01:00,2011-06-17T16:04:51+01:00,2011-06-17T16:05:09+01:00,0,0,35,0.000
degblogr00-0155.springer-sbm.com,52,159,Failed,75,0.75,1,2011-06-17T16:11:21+01:00,2011-06-17T16:11:32+01:00,2011-06-17T16:11:42+01:00,2011-06-17T16:11:43+01:00,2011-06-17T16:12:36+01:00,2011-06-17T16:12:36+01:00,0,0,14,0.000
degblogr00-0155.springer-sbm.com,84,160,Passed,76,0.76,1,2011-06-17T17:24:20+01:00,2011-06-17T17:24:26+01:00,2011-06-17T17:24:36+01:00,2011-06-17T17:24:37+01:00,2011-06-17T17:25:43+01:00,2011-06-17T17:26:01+01:00,0,0,37,0.000
degblogr00-0155.springer-sbm.com,83,162,Passed,77,0.77,1,2011-06-17T17:49:21+01:00,2011-06-17T17:49:35+01:00,2011-06-17T17:49:45+01:00,2011-06-17T17:49:45+01:00,2011-06-17T17:50:50+01:00,2011-06-17T17:51:09+01:00,0,0,38,0.000
degblogr00-0155.springer-sbm.com,83,164,Passed,78,0.78,1,2011-06-17T17:56:21+01:00,2011-06-17T17:56:28+01:00,2011-06-17T17:56:38+01:00,2011-06-17T17:56:39+01:00,2011-06-17T17:57:44+01:00,2011-06-17T17:58:02+01:00,0,0,38,0.000
degblogr00-0155.springer-sbm.com,83,172,Passed,79,0.79,1,2011-06-17T19:05:21+01:00,2011-06-17T19:05:32+01:00,2011-06-17T19:05:42+01:00,2011-06-17T19:05:43+01:00,2011-06-17T19:06:48+01:00,2011-06-17T19:07:07+01:00,0,0,38,0.000
degblogr00-0155.springer-sbm.com,81,175,Passed,80,0.80,1,2011-06-17T19:14:21+01:00,2011-06-17T19:14:27+01:00,2011-06-17T19:14:38+01:00,2011-06-17T19:14:38+01:00,2011-06-17T19:15:42+01:00,2011-06-17T19:16:00+01:00,0,0,40,0.000
degblogr00-0155.springer-sbm.com,81,177,Passed,81,0.81,1,2011-06-17T19:18:21+01:00,2011-06-17T19:18:30+01:00,2011-06-17T19:18:40+01:00,2011-06-17T19:18:41+01:00,2011-06-17T19:19:44+01:00,2011-06-17T19:20:02+01:00,0,0,40,0.000
degblogr00-0155.springer-sbm.com,83,179,Passed,82,0.82,1,2011-06-17T19:22:21+01:00,2011-06-17T19:22:31+01:00,2011-06-17T19:22:41+01:00,2011-06-17T19:22:42+01:00,2011-06-17T19:23:47+01:00,2011-06-17T19:24:06+01:00,0,0,40,0.000
degblogr00-0155.springer-sbm.com,83,182,Passed,83,0.83,1,2011-06-17T19:29:21+01:00,2011-06-17T19:29:32+01:00,2011-06-17T19:29:42+01:00,2011-06-17T19:29:42+01:00,2011-06-17T19:30:48+01:00,2011-06-17T19:31:06+01:00,0,0,40,0.000
